,ord,file_loc,character,num_of_obj,sum_of_stroke,vertices,disconnected_strokes,perimetric_complexity
0,57,5_Chinese_1.BMP,嘴,3,18,21.0,0.0,
1,47,5_Chinese_2.BMP,镇,2,15,16.0,2.0,
2,48,5_Chinese_3.BMP,鞋,2,15,16.0,0.0,
3,66,5_Chinese_4.BMP,墙,2,14,14.0,0.0,
4,67,5_Chinese_5.BMP,歌,5,14,14.0,0.0,
5,78,5_Chinese_6.BMP,路,2,13,15.0,0.0,
6,77,5_Chinese_7.BMP,腿,3,16,15.0,1.0,
7,31,5_Chinese_8.BMP,粮,4,13,11.0,2.0,
8,32,5_Chinese_9.BMP,腰,2,15,19.0,0.0,
9,38,5_Chinese_10.BMP,碗,2,13,17.0,0.0,
10,39,5_Chinese_11.BMP,煤,4,13,9.0,1.0,
11,35,5_Chinese_12.BMP,牌,1,12,16.0,0.0,
12,34,5_Chinese_13.BMP,街,5,12,6.0,2.0,
13,28,5_Chinese_14.BMP,湖,4,13,15.0,2.0,
14,25,5_Chinese_15.BMP,铺,1,15,16.0,0.0,
15,30,5_Chinese_16.BMP,锁,6,15,8.0,4.0,
16,33,5_Chinese_17.BMP,脸,2,13,8.0,3.0,
17,81,5_Chinese_18.BMP,眼,2,11,17.0,0.0,
18,74,5_Chinese_19.BMP,船,2,13,13.0,2.0,
19,45,5_Chinese_20.BMP,脚,3,11,15.0,0.0,
20,50,5_Chinese_21.BMP,馆,3,17,14.0,0.0,
21,58,5_Chinese_22.BMP,球,3,12,8.0,2.0,
22,56,5_Chinese_23.BMP,族,2,11,9.0,1.0,
23,80,5_Chinese_24.BMP,理,2,12,14.0,0.0,
24,75,5_Chinese_25.BMP,钱,2,13,9.0,1.0,
25,65,5_Chinese_26.BMP,班,3,11,6.0,1.0,
26,68,5_Chinese_27.BMP,酒,4,10,12.0,3.0,
27,27,5_Chinese_28.BMP,海,3,11,9.0,4.0,
28,26,5_Chinese_29.BMP,烟,2,13,9.0,1.0,
29,79,5_Chinese_30.BMP,铁,1,10,8.0,0.0,
30,76,5_Chinese_31.BMP,课,3,15,12.0,1.0,
31,64,5_Chinese_32.BMP,娘,2,10,14.0,0.0,
32,69,5_Chinese_33.BMP,核,4,10,7.0,1.0,
33,46,5_Chinese_34.BMP,桥,1,10,8.0,0.0,
34,49,5_Chinese_35.BMP,信,4,9,6.0,0.0,
35,59,5_Chinese_36.BMP,树,4,9,6.0,1.0,
36,55,5_Chinese_37.BMP,院,4,15,11.0,0.0,
37,37,5_Chinese_38.BMP,城,2,10,9.0,1.0,
38,40,5_Chinese_39.BMP,洞,4,10,7.0,4.0,
39,96,5_Chinese_40.BMP,话,3,13,9.0,1.0,
40,97,5_Chinese_41.BMP,法,3,9,4.0,3.0,
41,89,5_Chinese_42.BMP,河,4,9,6.0,3.0,
42,86,5_Chinese_43.BMP,线,4,11,7.0,2.0,
43,108,5_Chinese_44.BMP,油,3,9,9.0,3.0,
44,105,5_Chinese_45.BMP,姐,2,8,12.0,0.0,
45,114,5_Chinese_46.BMP,林,2,8,3.0,0.0,
46,117,5_Chinese_47.BMP,姓,2,8,8.0,0.0,
47,9,5_Chinese_48.BMP,矿,3,8,6.0,1.0,
48,6,5_Chinese_49.BMP,诗,3,13,7.0,2.0,
49,109,5_Chinese_50.BMP,村,3,7,4.0,1.0,
50,104,5_Chinese_51.BMP,报,2,8,10.0,0.0,
51,115,5_Chinese_52.BMP,饭,3,13,8.0,0.0,
52,116,5_Chinese_53.BMP,纸,3,10,9.0,1.0,
53,95,5_Chinese_54.BMP,妈,3,6,9.0,1.0,
54,98,5_Chinese_55.BMP,戏,1,6,7.0,1.0,
55,88,5_Chinese_56.BMP,江,3,7,2.0,3.0,
56,87,5_Chinese_57.BMP,灯,2,6,4.0,1.0,
57,15,5_Chinese_58.BMP,师,2,6,5.0,2.0,
58,17,5_Chinese_59.BMP,冰,4,6,4.0,2.0,
59,10,5_Chinese_60.BMP,队,2,10,6.0,0.0,
60,16,5_Korean_1.BMP,까,3,6,3.0,0.0,
61,4,5_Korean_10.BMP,앞,3,7,5.0,1.0,
62,12,5_Korean_11.BMP,않,5,8,2.0,1.0,
63,3,5_Korean_12.BMP,꿴,4,11,5.0,0.0,
64,0,5_Korean_13.BMP,꽹,5,10,5.0,1.0,
65,18,5_Korean_14.BMP,뎁,4,10,7.0,0.0,
66,14,5_Korean_15.BMP,뗑,5,10,5.0,1.0,
67,20,5_Korean_16.BMP,똬,4,10,6.0,0.0,
68,23,5_Korean_17.BMP,옆,2,8,6.0,1.0,
69,99,5_Korean_18.BMP,웝,4,9,6.0,1.0,
70,94,5_Korean_19.BMP,꼲,6,11,4.0,0.0,
71,22,5_Korean_2.BMP,져,2,6,4.0,0.0,
72,102,5_Korean_20.BMP,쾌,3,9,5.0,0.0,
73,111,5_Korean_21.BMP,편,4,9,7.0,0.0,
74,118,5_Korean_22.BMP,댾,5,12,7.0,0.0,
75,113,5_Korean_23.BMP,뇋,4,10,4.0,0.0,
76,101,5_Korean_24.BMP,뇉,3,11,7.0,0.0,
77,92,5_Korean_25.BMP,없,3,9,6.0,1.0,
