ind,file_loc,PC,inkArea,perimeter
39,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (39).BMP,32.5619315549338,20786.6392156863,2916.4339869281
40,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (40).BMP,21.0314691816322,12917.2549019608,1847.67189542484
41,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (41).BMP,26.623464163959,16914.5529411765,2378.8522875817
42,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (42).BMP,14.6718966489101,9656.25490196078,1334.29673202614
43,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (43).BMP,21.5656062037602,13152.8666666667,1887.97385620915
44,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (44).BMP,24.903031081776,16951.5960784314,2303.22483660131
45,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (45).BMP,20.0184909269986,13140.337254902,1818.12549019608
46,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (46).BMP,25.604522232804,17007.831372549,2339.30980392157
47,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (47).BMP,33.2075481183592,22257.4784313726,3047.62352941177
48,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (48).BMP,19.6730771849593,13131.8705882353,1801.7908496732
49,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (49).BMP,18.8320890590729,12637.3960784314,1729.35032679739
50,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (50).BMP,26.7466889597548,17354.7294117647,2415.17647058824
51,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (51).BMP,21.9302254823886,13159.3960784314,1904.33986928105
52,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (52).BMP,33.8582518370075,22525.2470588235,3095.79346405229
53,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (53).BMP,18.9707409071311,13077.5725490196,1765.67450980392
54,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (54).BMP,25.6904865215065,17291.9647058824,2362.72549019608
55,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (55).BMP,21.112975318085,13741.9450980392,1909.43006535948
56,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (56).BMP,30.9073797912687,20333.9333333333,2810.2614379085
57,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (57).BMP,26.3667949549314,16401.7764705882,2331.19738562092
58,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (58).BMP,20.2143685428337,13365.768627451,1842.60392156863
59,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (59).BMP,20.1940645851246,12961.4,1813.60522875817
60,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (60).BMP,25.8598787898953,17113.0274509804,2358.20522875817
61,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (1).BMP,44.5458342270653,5694.5137254902,1785.40522875817
62,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (2).BMP,60.8191024642713,7364.01176470588,2372.36862745098
63,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (3).BMP,59.6717390923159,7648.39607843137,2394.82875816994
64,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (4).BMP,61.839189680245,7871.34509803922,2473.21176470588
65,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (5).BMP,56.3976357599598,7489.22745098039,2303.84836601307
66,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (6).BMP,31.0544322942174,3927.9137254902,1238.07712418301
67,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (7).BMP,28.4279720254993,3324.58823529412,1089.8
68,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (8).BMP,54.9075645219956,6384.12156862745,2098.80261437908
69,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (9).BMP,63.5243414948437,7385.44705882353,2428.08235294118
70,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (10).BMP,47.9390062011849,6184.41568627451,1930.18431372549
71,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (11).BMP,31.3009775439846,4198.38039215686,1285.06405228758
72,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (12).BMP,36.0171543805301,4667.83921568627,1453.50849673203
73,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (13).BMP,38.4600740163824,4982.38039215686,1551.77385620915
74,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (14).BMP,51.9535085790693,6274.18039215686,2023.90849673203
75,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (15).BMP,32.9072524323505,3831.45098039216,1258.72941176471
