"","ind","content","file_loc","PC","inkArea","perimeter","condition"
"1",1,1554,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (1).BMP",18.0197657044921,12604.7490196078,1689.45490196078,2
"2",2,809,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (2).BMP",21.8640356278622,13414.1058823529,1919.77777777778,2
"3",3,6924,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (3).BMP",14.381862018593,10224.5764705882,1359.36209150327,2
"4",4,8841,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (4).BMP",18.9707409071311,13077.5725490196,1765.67450980392,2
"5",5,88014,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (5).BMP",23.6087575283571,16472.2431372549,2210.63921568627,2
"6",6,4652,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (6).BMP",21.3247580059335,13584.5764705882,1907.96339869281,2
"7",7,25601,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (7).BMP",20.7458791060053,12790.0509803922,1826.02614379085,2
"8",8,8904,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (8).BMP",14.6718966489101,9656.25490196078,1334.29673202614,2
"9",9,22088,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (9).BMP",18.0197657044921,12604.7490196078,1689.45490196078,2
"10",10,8510,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (10).BMP",19.6730771849593,13131.8705882353,1801.7908496732,2
"11",11,189,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (11).BMP",25.604522232804,17007.831372549,2339.30980392157,2
"12",12,6261,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (12).BMP",19.3678517321054,12930.2509803922,1773.98169934641,2
"13",13,81219,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (13).BMP",26.8389609019333,16814.8666666667,2381.41176470588,2
"14",14,105,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (14).BMP",18.9707409071311,13077.5725490196,1765.67450980392,2
"15",15,6602,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (15).BMP",25.0644987363532,17822.3607843137,2369.28366013072,2
"16",16,12089,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (16).BMP",21.8640356278622,13414.1058823529,1919.77777777778,2
"17",17,8541,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (17).BMP",14.5508137908677,9214.14117647059,1298.00392156863,2
"18",18,11518,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (18).BMP",20.6000361123275,12680.0431372549,1811.75424836601,2
"19",19,2199,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (19).BMP",25.112421063775,16480.8980392157,2280.55032679738,2
"20",20,20455,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (20).BMP",17.0916192793177,10274.3450980392,1485.50326797386,2
"21",21,1984,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (21).BMP",20.7152332890977,13120.2196078431,1848.07843137255,2
"22",22,4456,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (22).BMP",25.237379973369,16924.9490196078,2316.81176470588,2
"23",23,8542,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (23).BMP",20.1940645851246,12961.4,1813.60522875817,2
"24",24,98101,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (24).BMP",27.5961202154834,16403.462745098,2385.04575163399,2
"25",25,4189,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (25).BMP",18.4663948404106,12554.5137254902,1706.8522875817,2
"26",26,1994,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (26).BMP",25.6021959047244,17064.0156862745,2343.06405228758,2
"27",27,80448,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (27).BMP",18.8320890590729,12637.3960784314,1729.35032679739,2
"28",28,9501,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (28).BMP",18.894030813238,12515.2235294118,1723.79869281046,2
"29",29,664,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (29).BMP",19.1597472432466,13362.4,1793.66797385621,2
"30",30,1086,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (30).BMP",26.2966501084713,16523.9490196078,2336.74901960784,2
"31",31,814,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (31).BMP",18.8320890590729,12637.3960784314,1729.35032679739,2
"32",32,4086,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (32).BMP",17.9984940175666,12139.0470588235,1656.97254901961,2
