"","ind","content","file_loc","PC","inkArea","perimeter","condition"
"1",1,"PFERD","/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (1).BMP",14.771700712209,21480.2901960784,1996.82614379085,2
"2",2,"PFERD","/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (2).BMP",14.771700712209,21480.2901960784,1996.82614379085,2
"3",3,"TAG","/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (3).BMP",8.18045884555443,11623,1093.08235294118,2
"4",4,"KNIE","/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (4).BMP",12.9369699189558,16482.9450980392,1636.96209150327,2
"5",5,"BEIN","/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (5).BMP",14.1746499577751,17622.6274509804,1771.72549019608,2
"6",6,"GELD","/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (6).BMP",12.667892977345,18128.1803921569,1698.76862745098,2
"7",7,"MANN","/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (7).BMP",14.9475372112728,20292.7921568627,1952.36339869281,2
"8",8,"HUT","/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (8).BMP",9.03027585101784,11228.7176470588,1128.8091503268,2
"9",9,"BOOT","/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (9).BMP",15.1336475037954,19667.5411764706,1933.97908496732,2
"10",10,"RAD","/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (10).BMP",8.55531599550211,14607.6196078431,1253.17777777778,2
"11",11,"MILCH","/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (11).BMP",15.1140285923802,18546.2784313725,1876.82352941177,2
"12",12,"OHR","/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (12).BMP",9.72309638406739,12590.8235294118,1240.32156862745,2
"13",13,"KIND","/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (13).BMP",12.5093226704877,18487.062745098,1704.73071895425,2
"14",14,"SPIEL","/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (14).BMP",15.0903476676076,21159.6431372549,2003.12810457516,2
"15",15,"WORT","/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (15).BMP",11.4241071267737,15388.8588235294,1486.34379084967,2
"16",16,"HUT","/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (16).BMP",9.03027585101784,11228.7176470588,1128.8091503268,2
