ind,file_loc,PC,inkArea,perimeter
1,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (1).BMP,18.0197657044921,12604.7490196078,1689.45490196078
2,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (2).BMP,21.8640356278622,13414.1058823529,1919.77777777778
3,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (3).BMP,14.381862018593,10224.5764705882,1359.36209150327
4,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (4).BMP,18.9707409071311,13077.5725490196,1765.67450980392
5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (5).BMP,23.6087575283571,16472.2431372549,2210.63921568627
6,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (6).BMP,21.3247580059335,13584.5764705882,1907.96339869281
7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (7).BMP,20.7458791060053,12790.0509803922,1826.02614379085
8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (8).BMP,14.6718966489101,9656.25490196078,1334.29673202614
9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (9).BMP,18.0197657044921,12604.7490196078,1689.45490196078
10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (10).BMP,19.6730771849593,13131.8705882353,1801.7908496732
11,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (11).BMP,25.604522232804,17007.831372549,2339.30980392157
12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (12).BMP,19.3678517321054,12930.2509803922,1773.98169934641
13,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Symbol_ (13).BMP,26.8389609019333,16814.8666666667,2381.41176470588
