ind,file_loc,PC,inkArea,perimeter
1,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (1).BMP,21.0314691816322,12917.2549019608,1847.67189542484
2,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (2).BMP,26.3989979425291,17346.262745098,2398.84183006536
3,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (3).BMP,21.3247580059335,13584.5764705882,1907.96339869281
4,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (4).BMP,27.358083782543,17880.2039215686,2479.32810457516
5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (5).BMP,21.8640356278622,13414.1058823529,1919.77777777778
6,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (6).BMP,26.8573840094845,17297.9647058824,2416.20784313726
7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (7).BMP,17.9984940175666,12139.0470588235,1656.97254901961
8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (8).BMP,14.5508137908677,9214.14117647059,1298.00392156863
9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (9).BMP,19.7566521341268,13417.9411764706,1825.17516339869
10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (10).BMP,33.3480982736813,22699.1529411765,3084.21960784314
11,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (11).BMP,25.3489050088077,17283.4980392157,2346.3908496732
12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (12).BMP,18.894030813238,12515.2235294118,1723.79869281046
13,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (13).BMP,22.3714408317744,13491.2980392157,1947.50588235294
14,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (14).BMP,26.9242687819425,17175.7921568627,2410.65620915033
15,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (15).BMP,25.0032253760732,16210.3098039216,2256.82875816994
16,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (16).BMP,17.6400548925888,11048.3607843137,1564.96209150327
17,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (17).BMP,28.532816071613,19448.7450980392,2640.72418300654
18,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (18).BMP,19.7566521341268,13417.9411764706,1825.17516339869
19,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (19).BMP,31.7243394253809,22246.4470588235,2978.04705882353
20,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (20).BMP,34.1787050171094,21493.6156862745,3038.3477124183
21,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (21).BMP,27.5961202154834,16403.462745098,2385.04575163399
22,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (22).BMP,22.4764575185852,13933.4117647059,1983.79869281046
23,/Users/alex/Documents/GitHub/Visual-Similarity/Data/1_Maurer_ZRH_del//1_Symbol_ (23).BMP,27.9609817462165,16411.9294117647,2401.38039215686
