"","ind","content","file_loc","PC","inkArea","perimeter","condition"
"37",37,8841,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (37).BMP",24.116088347064,16995.3019607843,2269.4614379085,2
"38",38,4189,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (38).BMP",25.8598787898953,17113.0274509804,2358.20522875817,2
"39",39,46630,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (39).BMP",32.5619315549338,20786.6392156863,2916.4339869281,2
"40",40,6006,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (40).BMP",21.0314691816322,12917.2549019608,1847.67189542484,2
"41",41,335540,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (41).BMP",26.623464163959,16914.5529411765,2378.8522875817,2
"42",42,8904,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (42).BMP",14.6718966489101,9656.25490196078,1334.29673202614,2
"43",43,40369,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (43).BMP",21.5656062037602,13152.8666666667,1887.97385620915,2
"44",44,4653,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (44).BMP",24.903031081776,16951.5960784314,2303.22483660131,2
"45",45,143466,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (45).BMP",20.0184909269986,13140.337254902,1818.12549019608,2
"46",46,60514,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (46).BMP",25.604522232804,17007.831372549,2339.30980392157,2
"47",47,3199,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (47).BMP",33.2075481183592,22257.4784313726,3047.62352941177,2
"48",48,8541,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (48).BMP",19.6730771849593,13131.8705882353,1801.7908496732,2
"49",49,31459,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (49).BMP",18.8320890590729,12637.3960784314,1729.35032679739,2
"50",50,8543,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (50).BMP",26.7466889597548,17354.7294117647,2415.17647058824,2
"51",51,1984,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (51).BMP",21.9302254823886,13159.3960784314,1904.33986928105,2
"52",52,911348,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (52).BMP",33.8582518370075,22525.2470588235,3095.79346405229,2
"53",53,1551,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (53).BMP",18.9707409071311,13077.5725490196,1765.67450980392,2
"54",54,8453,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (54).BMP",25.6904865215065,17291.9647058824,2362.72549019608,2
"55",55,901036,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (55).BMP",21.112975318085,13741.9450980392,1909.43006535948,2
"56",56,13089,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (56).BMP",30.9073797912687,20333.9333333333,2810.2614379085,2
"57",57,664,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (57).BMP",26.3667949549314,16401.7764705882,2331.19738562092,2
"58",58,1486,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (58).BMP",20.2143685428337,13365.768627451,1842.60392156863,2
"59",59,98101,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (59).BMP",20.1940645851246,12961.4,1813.60522875817,2
"60",60,1554,"/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (60).BMP",25.8598787898953,17113.0274509804,2358.20522875817,2
