,ord,file_loc,character,num_of_obj,sum_of_stroke,vertices,disconnected_strokes,perimetric_complexity
39,118,KSH20.png,空,5,10,8.0,1.0,
40,149,CSH21.png,京,5,8,6.0,4.0,
41,129,CSH22.png,前,6,9,6.0,4.0,
42,111,KSH21.png,환,2,9,3.0,1.0,
43,93,KSH22.png,첼,3,12,7.0,1.0,
44,98,KSH23.png,밝,3,13,10.0,0.0,
45,142,CSH23.png,将,3,10,6.0,2.0,
46,131,KSH24.png,空,4,9,8.0,1.0,
47,140,KSH25.png,걸,2,9,6.0,0.0,
48,160,KSH26.png,촌,3,8,4.0,1.0,
49,88,CSH24.png,组,3,6,9.0,1.0,
50,103,CSH25.png,各,1,11,8.0,0.0,
51,119,CSH26.png,先,0,11,7.0,0.0,
52,110,CSH27.png,问,4,6,6.0,2.0,
53,153,KSH27.png,센,4,7,3.0,0.0,
54,48,KSH28.png,콜,3,11,7.0,0.0,
55,53,KSH29.png,뚱,3,9,5.0,0.0,
56,73,CSH28.png,把,1,8,11.0,0.0,
57,132,KSH30.png,空,4,10,12.0,0.0,
58,139,KSH31.png,空,3,12,13.0,0.0,
59,161,KSH32.png,찰,4,11,7.0,1.0,
60,152,KSH33.png,돈,1,7,4.0,0.0,
61,84,CSH29.png,但,3,7,6.0,1.0,
62,117,KSH34.png,전,3,7,4.0,0.0,
63,112,KSH35.png,압,3,7,5.0,0.0,
64,89,CSH30.png,面,0,9,13.0,0.0,
65,101,CSH31.png,说,4,14,10.0,3.0,
66,120,CSH32.png,命,3,8,8.0,1.0,
67,92,KSH36.png,배,2,7,6.0,0.0,
68,99,KSH37.png,려,1,8,6.0,0.0,
69,109,CSH33.png,主,1,5,3.0,1.0,
70,68,KSH38.png,탕,1,7,4.0,0.0,
71,62,KSH39.png,한,4,7,2.0,1.0,
72,180,KSH40.png,레,3,8,5.0,0.0,
73,162,CSH34.png,处,1,5,6.0,0.0,
74,150,CSH35.png,后,1,6,7.0,0.0,
75,173,KSH41.png,러,1,7,5.0,0.0,
76,127,CSH36.png,多,2,6,6.0,0.0,
77,143,CSH37.png,此,2,6,6.0,0.0,
78,40,CSH38.png,名,0,6,7.0,0.0,
79,31,CSH39.png,当,3,6,3.0,3.0,
80,219,CSH40.png,动,3,6,6.0,1.0,
81,208,CSH41.png,议,3,10,3.0,2.0,
82,191,KSH42.png,제,3,6,3.0,0.0,
83,225,CSH42.png,对,2,5,,,
84,237,CSH43.png,色,0,6,,,
85,200,KSH43.png,들,3,9,6.0,1.0,
86,228,KSH44.png,넷,4,7,3.0,0.0,
87,234,KSH45.png,즐,2,9,6.0,1.0,
88,190,CSH44.png,好,1,6,8.0,0.0,
89,201,CSH45.png,关,1,6,4.0,1.0,
90,218,KSH46.png,슬,2,8,5.0,1.0,
91,184,CSH46.png,老,0,6,7.0,0.0,
92,209,KSH47.png,반,3,8,6.0,0.0,
93,3,KSH48.png,空,3,10,9.0,0.0,
94,169,CSH47.png,论,4,11,6.0,1.0,
95,13,CSH48.png,院,5,15,10.0,2.0,
96,19,CSH49.png,运,4,11,6.0,2.0,
97,189,CSH50.png,因,1,6,5.0,1.0,
98,4,KSH49.png,잘,3,10,7.0,0.0,
99,227,KSH50.png,섹,3,7,3.0,0.0,
100,202,CSH51.png,次,4,6,3.0,2.0,
101,183,CSH52.png,到,3,8,7.0,1.0,
102,235,KSH51.png,통,1,7,4.0,0.0,
103,170,CSH53.png,相,1,9,9.0,0.0,
104,217,KSH52.png,空,1,10,10.0,0.0,
105,210,KSH53.png,空,2,11,10.0,0.0,
106,181,KSH54.png,출,3,11,7.0,1.0,
107,172,KSH55.png,벚,1,9,7.0,0.0,
108,192,KSH56.png,월,4,10,6.0,0.0,
109,220,CSH54.png,金,1,8,4.0,2.0,
110,207,CSH55.png,变,4,8,4.0,3.0,
111,199,KSH57.png,空,2,10,8.0,1.0,
112,25,KSH58.png,합,4,9,5.0,1.0,
113,226,CSH56.png,放,3,8,7.0,1.0,
114,236,CSH57.png,种,1,9,9.0,0.0,
115,11,CSH58.png,学,3,8,7.0,2.0,
116,7,CSH59.png,还,3,11,5.0,2.0,
117,22,KSH59.png,핸,4,8,3.0,1.0,
118,2,KSH60.png,량,1,9,6.0,0.0,
119,15,CSH60.png,身,0,7,8.0,0.0,
120,229,CSL1.png,帅,2,5,4.0,2.0,
121,121,KSL1.png,캐,2,7,4.0,0.0,
122,102,KSL2.png,냉,0,6,3.0,0.0,
123,90,KSL3.png,댄,1,8,5.0,0.0,
124,144,KSL4.png,울,2,8,5.0,0.0,
125,128,KSL5.png,란,1,9,6.0,0.0,
126,151,KSL6.png,복,1,8,6.0,0.0,
127,211,CSL2.png,瓜,0,5,5.0,0.0,
128,163,KSL7.png,빗,2,7,5.0,0.0,
129,216,CSL3.png,池,3,7,6.0,3.0,
130,55,KSL8.png,쾌,1,9,5.0,0.0,
131,46,KSL9.png,절,3,10,7.0,0.0,
132,43,KSL10.png,떡,3,10,6.0,0.0,
133,176,CSL4.png,劣,4,6,3.0,4.0,
134,177,CSL5.png,汗,3,7,2.0,3.0,
135,196,CSL6.png,汤,3,7,6.0,3.0,
136,195,CSL7.png,厌,1,6,3.0,1.0,
137,23,CSL8.png,吨,1,7,10.0,0.0,
138,24,CSL9.png,坑,4,7,6.0,2.0,
139,58,KSL11.png,렌,4,10,6.0,0.0,
140,42,KSL12.png,설,3,9,6.0,0.0,
141,29,KSL13.png,달,1,10,7.0,0.0,
142,78,CSL10.png,坝,4,7,4.0,2.0,
143,79,CSL11.png,坎,3,7,5.0,0.0,
144,70,KSL14.png,립,1,10,8.0,0.0,
145,60,KSL15.png,空,4,10,8.0,1.0,
146,72,KSL16.png,空,4,10,6.0,1.0,
147,85,KSL17.png,법,1,10,9.0,0.0,
148,122,KSL18.png,空,3,11,11.0,0.0,
149,65,CSL12.png,钉,1,10,7.0,0.0,
150,64,CSL13.png,坟,3,7,4.0,1.0,
151,108,KSL19.png,空,3,10,10.0,0.0,
152,126,KSL20.png,空,2,10,10.0,0.0,
153,145,KSL21.png,할,4,10,5.0,1.0,
154,38,CSL14.png,妖,0,7,7.0,0.0,
155,33,CSL15.png,岭,4,8,6.0,1.0,
156,49,CSL16.png,肺,2,10,10.0,0.0,
157,52,CSL17.png,玩,3,9,7.0,1.0,
158,159,CSL18.png,沫,3,9,3.0,3.0,
159,154,CSL19.png,杯,2,8,4.0,1.0,
160,166,KSL22.png,챔,4,11,8.0,1.0,
161,147,KSL23.png,空,2,9,9.0,0.0,
162,95,CSL20.png,枕,3,8,6.0,1.0,
163,123,KSL24.png,딸,1,13,9.0,0.0,
164,96,CSL21.png,侄,1,8,7.0,0.0,
165,107,KSL25.png,원,4,7,3.0,0.0,
166,86,KSL26.png,알,3,8,5.0,0.0,
167,105,KSL27.png,채,3,7,4.0,1.0,
168,71,KSL28.png,엽,3,8,6.0,0.0,
169,116,CSL22.png,恨,3,10,9.0,1.0,
170,113,CSL23.png,妹,0,8,8.0,0.0,
171,59,KSL29.png,병,1,8,6.0,0.0,
172,124,KSL30.png,空,4,11,10.0,0.0,
173,106,KSL31.png,空,3,10,9.0,1.0,
174,157,CSL24.png,赴,1,9,7.0,0.0,
175,156,CSL25.png,扫,1,7,5.0,1.0,
176,134,CSL26.png,扣,1,7,7.0,0.0,
177,137,CSL27.png,阴,2,12,9.0,0.0,
178,37,CSL28.png,伸,1,7,8.0,0.0,
179,34,CSL29.png,杏,1,7,5.0,0.0,
180,87,KSL32.png,털,0,11,8.0,0.0,
181,104,KSL33.png,정,2,6,3.0,0.0,
182,125,KSL34.png,산,3,6,3.0,0.0,
183,158,CSL30.png,胎,3,11,11.0,0.0,
184,155,CSL31.png,盼,4,9,10.0,2.0,
185,146,KSL35.png,촉,4,8,4.0,1.0,
186,165,KSL36.png,테,3,7,4.0,0.0,
187,148,KSL37.png,롱,1,8,5.0,0.0,
188,44,KSL38.png,골,3,9,6.0,0.0,
189,135,CSL32.png,帘,4,8,6.0,3.0,
190,136,CSL33.png,穴,4,5,2.0,3.0,
191,57,KSL39.png,방,2,7,5.0,0.0,
192,223,KSL40.png,空,3,6,7.0,0.0,
193,94,CSL34.png,辽,3,9,6.0,1.0,
194,97,CSL35.png,尖,4,6,2.0,3.0,
195,115,CSL36.png,仰,2,6,6.0,0.0,
196,114,CSL37.png,伙,3,6,2.0,2.0,
197,77,CSL38.png,朵,2,6,4.0,0.0,
198,80,CSL39.png,寺,1,6,4.0,1.0,
199,239,KSL41.png,워,3,5,2.0,0.0,
200,221,KSL42.png,예,1,5,2.0,0.0,
201,193,CSL40.png,壮,2,6,3.0,1.0,
202,198,CSL41.png,闪,4,10,3.0,2.0,
203,206,KSL43.png,류,2,8,6.0,0.0,
204,186,KSL44.png,랑,1,8,5.0,0.0,
205,167,KSL45.png,돗,1,7,4.0,0.0,
206,188,KSL46.png,클,1,10,6.0,0.0,
207,178,CSL42.png,叹,1,5,6.0,0.0,
208,175,CSL43.png,吊,0,6,9.0,0.0,
209,203,KSL47.png,짖,2,7,4.0,0.0,
210,28,KSL48.png,空,6,11,6.0,2.0,
211,215,CSL44.png,伪,1,6,5.0,1.0,
212,212,CSL45.png,夸,2,6,6.0,1.0,
213,231,CSL46.png,丟,0,6,6.0,0.0,
214,232,CSL47.png,朽,2,6,5.0,1.0,
215,9,CSL48.png,峡,3,9,6.0,2.0,
216,8,CSL49.png,泛,6,9,2.0,5.0,
217,20,KSL49.png,둘,2,10,7.0,0.0,
218,185,KSL50.png,천,4,8,4.0,1.0,
219,214,CSL50.png,迈,3,10,7.0,1.0,
220,213,CSL51.png,闯,5,11,7.0,3.0,
221,168,KSL51.png,날,1,9,6.0,0.0,
222,187,KSL52.png,空,3,10,9.0,1.0,
223,204,KSL53.png,빵,4,11,9.0,0.0,
224,224,KSL54.png,불,2,11,9.0,0.0,
225,230,CSL52.png,卧,3,8,10.0,2.0,
226,233,CSL53.png,俩,2,9,10.0,0.0,
227,238,KSL55.png,탑,1,10,8.0,0.0,
228,222,KSL56.png,空,2,10,9.0,0.0,
229,194,CSL54.png,贪,4,11,5.0,3.0,
230,197,CSL55.png,昂,3,8,10.0,0.0,
231,179,CSL56.png,弦,3,8,11.0,1.0,
232,174,CSL57.png,废,2,8,7.0,2.0,
233,16,CSL58.png,宠,4,8,6.0,2.0,
234,205,KSL57.png,펜,4,9,6.0,2.0,
235,0,KSL58.png,훌,3,10,5.0,1.0,
236,17,CSL59.png,返,3,11,7.0,1.0,
237,10,CSL60.png,妥,5,7,4.0,4.0,
238,5,KSL59.png,줍,3,9,7.0,0.0,
239,27,KSL60.png,첫,4,8,4.0,1.0,
