,ord,file_loc,character,num_of_obj,sum_of_stroke,vertices,disconnected_strokes,perimetric_complexity
0,1,KSH1.png,희,2,5,0.0,1.0,
1,6,KSH2.png,대,0,6,4.0,0.0,
2,12,KSH3.png,있,4,7,3.0,1.0,
3,21,KSH4.png,웨,4,6,2.0,1.0,
4,26,KSH5.png,튀,1,7,4.0,0.0,
5,18,KSH6.png,훈,4,7,2.0,1.0,
6,14,KSH7.png,체,4,7,3.0,1.0,
7,66,CSH1.png,外,2,5,3.0,1.0,
8,81,CSH2.png,北,2,5,5.0,0.0,
9,76,CSH3.png,地,1,6,8.0,0.0,
10,51,CSH4.png,机,1,6,6.0,0.0,
11,50,CSH5.png,场,1,6,8.0,0.0,
12,171,KSH8.png,볶,2,10,7.0,0.0,
13,35,CSH6.png,权,2,6,3.0,1.0,
14,182,KSH9.png,획,2,8,2.0,1.0,
15,36,CSH7.png,级,2,9,8.0,1.0,
16,138,CSH8.png,我,1,7,7.0,1.0,
17,133,CSH9.png,近,3,11,6.0,1.0,
18,67,KSH10.png,썩,2,8,4.0,0.0,
19,41,CSH10.png,近,3,11,6.0,1.0,
20,63,KSH11.png,열,3,9,6.0,0.0,
21,75,KSH12.png,화,1,7,2.0,1.0,
22,82,KSH13.png,찻,4,8,4.0,1.0,
23,30,CSH11.png,两,0,7,9.0,0.0,
24,45,CSH12.png,利,3,7,3.0,2.0,
25,47,KSH14.png,율,2,9,6.0,0.0,
26,54,KSH15.png,꽃,5,10,5.0,1.0,
27,39,KSH16.png,롭,1,11,9.0,0.0,
28,32,KSH17.png,空,2,10,100.0,0.0,
29,130,KSH18.png,탈,1,11,8.0,0.0,
30,56,CSH13.png,你,5,7,4.0,2.0,
31,74,CSH14.png,别,2,7,9.0,1.0,
32,141,KSH19.png,空,4,11,8.0,1.0,
33,83,CSH15.png,受,6,6,4.0,4.0,
34,69,CSH16.png,质,3,8,5.0,2.0,
35,61,CSH17.png,所,1,8,8.0,0.0,
36,91,CSH18.png,些,4,7,6.0,2.0,
37,100,CSH19.png,物,1,8,8.0,0.0,
38,164,CSH20.png,明,2,8,10.0,0.0,
