,ind,content,num_of_obj,sum_of_obj,sum_of_stroke,sum_of_junc
0,85,OHR,3,"[1, 3, 3]",7,5
1,86,BEIN,4,"[3, 4, 1, 3]",11,11
2,87,KIND,4,"[3, 1, 3, 2]",9,9
3,88,WORT,4,"[4, 1, 3, 2]",10,7
4,89,MANN,4,"[4, 3, 3, 3]",13,10
5,90,KNIE,4,"[3, 3, 1, 4]",11,10
6,91,RAD,3,"[3, 3, 2]",8,8
7,92,MILCH,5,"[4, 1, 1, 1, 3]",10,8
8,93,PFERD,5,"[2, 3, 4, 3, 2]",14,12
9,94,OHR,3,"[1, 3, 3]",7,5
10,95,BOOT,4,"[3, 1, 1, 2]",7,5
11,96,SPIEL,5,"[1, 2, 1, 4, 1]",9,8
12,97,GELD,4,"[2, 4, 1, 2]",9,8
13,98,HUT,3,"[3, 1, 2]",6,3
14,99,TAG,3,"[2, 3, 2]",7,6
15,100,SPIEL,5,"[1, 2, 1, 4, 1]",9,8
16,101,BOOT,4,"[3, 1, 1, 2]",7,5
17,102,HUT,3,"[3, 1, 2]",6,3
18,103,BEIN,4,"[3, 4, 1, 3]",11,11
19,104,GELD,4,"[2, 4, 1, 2]",9,8
20,105,PFERD,5,"[2, 3, 4, 3, 2]",14,12
21,106,TAG,3,"[2, 3, 2]",7,6
22,107,OHR,3,"[1, 3, 3]",7,5
23,108,WORT,4,"[4, 1, 3, 2]",10,7
24,109,KIND,4,"[3, 1, 3, 2]",9,9
25,110,MILCH,5,"[4, 1, 1, 1, 3]",10,8
26,111,MANN,4,"[4, 3, 3, 3]",13,10
27,112,KNIE,4,"[3, 3, 1, 4]",11,10
28,113,RAD,3,"[3, 3, 2]",8,8
29,114,GELD,4,"[2, 4, 1, 2]",9,8
30,115,MILCH,5,"[4, 1, 1, 1, 3]",10,8
31,116,WORT,4,"[4, 1, 3, 2]",10,7
32,117,SPIEL,5,"[1, 2, 1, 4, 1]",9,8
33,118,MANN,4,"[4, 3, 3, 3]",13,10
34,119,HUT,3,"[3, 1, 2]",6,3
35,120,KNIE,4,"[3, 3, 1, 4]",11,10
36,121,TAG,3,"[2, 3, 2]",7,6
37,122,BOOT,4,"[3, 1, 1, 2]",7,5
38,123,OHR,3,"[1, 3, 3]",7,5
39,124,PFERD,5,"[2, 3, 4, 3, 2]",14,12
40,125,BEIN,4,"[3, 4, 1, 3]",11,11
41,126,KIND,4,"[3, 1, 3, 2]",9,9
42,127,RAD,3,"[3, 3, 2]",8,8
43,128,GELD,4,"[2, 4, 1, 2]",9,8
44,129,BEIN,4,"[3, 4, 1, 3]",11,11
45,130,OHR,3,"[1, 3, 3]",7,5
46,131,PFERD,5,"[2, 3, 4, 3, 2]",14,12
47,132,RAD,3,"[3, 3, 2]",8,8
48,133,SPIEL,5,"[1, 2, 1, 4, 1]",9,8
49,134,MILCH,5,"[4, 1, 1, 1, 3]",10,8
50,135,MANN,4,"[4, 3, 3, 3]",13,10
51,136,WORT,4,"[4, 1, 3, 2]",10,7
52,137,KNIE,4,"[3, 3, 1, 4]",11,10
53,138,TAG,3,"[2, 3, 2]",7,6
54,139,HUT,3,"[3, 1, 2]",6,3
55,140,BOOT,4,"[3, 1, 1, 2]",7,5
56,141,KIND,4,"[3, 1, 3, 2]",9,9
57,142,GELD,4,"[2, 4, 1, 2]",9,8
58,143,KIND,4,"[3, 1, 3, 2]",9,9
59,144,OHR,3,"[1, 3, 3]",7,5
60,145,MILCH,5,"[4, 1, 1, 1, 3]",10,8
61,146,MANN,4,"[4, 3, 3, 3]",13,10
62,147,SPIEL,5,"[1, 2, 1, 4, 1]",9,8
63,148,RAD,3,"[3, 3, 2]",8,8
64,149,BEIN,4,"[3, 4, 1, 3]",11,11
65,150,BOOT,4,"[3, 1, 1, 2]",7,5
66,151,PFERD,5,"[2, 3, 4, 3, 2]",14,12
67,152,WORT,4,"[4, 1, 3, 2]",10,7
68,153,TAG,3,"[2, 3, 2]",7,6
69,154,KNIE,4,"[3, 3, 1, 4]",11,10
70,155,HUT,3,"[3, 1, 2]",6,3
71,156,WORT,4,"[4, 1, 3, 2]",10,7
72,157,MILCH,5,"[4, 1, 1, 1, 3]",10,8
73,158,RAD,3,"[3, 3, 2]",8,8
74,159,GELD,4,"[2, 4, 1, 2]",9,8
75,160,BOOT,4,"[3, 1, 1, 2]",7,5
76,161,BEIN,4,"[3, 4, 1, 3]",11,11
77,162,PFERD,5,"[2, 3, 4, 3, 2]",14,12
78,163,HUT,3,"[3, 1, 2]",6,3
79,164,MANN,4,"[4, 3, 3, 3]",13,10
80,165,KIND,4,"[3, 1, 3, 2]",9,9
81,166,SPIEL,5,"[1, 2, 1, 4, 1]",9,8
82,167,KNIE,4,"[3, 3, 1, 4]",11,10
83,168,TAG,3,"[2, 3, 2]",7,6
