content,obj_num,disconnected_stroke,stroke_sum,junc_sum,file_loc,PC
8543,4,0,15,14,2_Symbol_ (1).BMP,20.900885268735
1984,4,0,17,16,2_Symbol_ (2).BMP,18.8320890590729
911348,6,0,24,23,2_Symbol_ (3).BMP,31.1508118112958
1551,4,0,10,8,2_Symbol_ (4).BMP,22.3297658656059
8453,4,0,15,14,2_Symbol_ (5).BMP,20.900885268735
901036,6,2,18,15,2_Symbol_ (6).BMP,33.1506993701845
13089,5,1,18,16,2_Symbol_ (7).BMP,26.987953173626
664,3,0,12,12,2_Symbol_ (8).BMP,14.3174148666099
1486,4,0,16,16,2_Symbol_ (9).BMP,19.8929624672803
98101,5,1,17,15,2_Symbol_ (10).BMP,26.2966501084713
1554,4,0,11,9,2_Symbol_ (11).BMP,20.7458791060053
9501,4,1,11,8,2_Symbol_ (12).BMP,21.0314691816322
13468,5,0,20,20,2_Symbol_ (13).BMP,26.3989979425291
8108,4,1,14,13,2_Symbol_ (14).BMP,21.3247580059335
30455,5,1,13,10,2_Symbol_ (15).BMP,27.358083782543
8510,4,1,11,9,2_Symbol_ (16).BMP,21.8640356278622
81319,5,0,20,19,2_Symbol_ (17).BMP,26.8573840094845
1994,4,0,17,15,2_Symbol_ (18).BMP,17.9984940175666
819,3,0,13,12,2_Symbol_ (19).BMP,14.5508137908677
6934,4,0,17,16,2_Symbol_ (20).BMP,19.7566521341268
340358,6,1,20,18,2_Symbol_ (21).BMP,33.3480982736813
98413,5,0,21,20,2_Symbol_ (22).BMP,25.3489050088077
4456,4,0,14,13,2_Symbol_ (23).BMP,18.894030813238
6361,4,0,15,15,2_Symbol_ (24).BMP,22.3714408317744
51436,5,0,17,16,2_Symbol_ (25).BMP,26.9242687819425
45541,5,0,15,13,2_Symbol_ (26).BMP,25.0032253760732
315,3,0,9,8,2_Symbol_ (27).BMP,17.6400548925888
33088,5,1,19,18,2_Symbol_ (28).BMP,28.532816071613
9643,4,0,17,16,2_Symbol_ (29).BMP,19.7566521341268
345843,6,0,23,22,2_Symbol_ (30).BMP,31.7243394253809
853011,6,1,18,16,2_Symbol_ (31).BMP,34.1787050171094
11518,5,0,16,15,2_Symbol_ (32).BMP,27.5961202154834
6603,4,1,13,12,2_Symbol_ (33).BMP,22.4764575185852
10165,5,1,13,11,2_Symbol_ (34).BMP,27.9609817462165
814,3,0,12,12,2_Symbol_ (35).BMP,14.8827138935176
35601,5,1,14,12,2_Symbol_ (36).BMP,28.5944771396856
80448,5,1,19,18,2_Symbol_ (37).BMP,24.116088347064
39541,5,0,18,16,2_Symbol_ (38).BMP,25.8598787898953
140663,6,1,20,19,2_Symbol_ (39).BMP,32.5619315549338
9501,4,1,11,8,2_Symbol_ (40).BMP,21.0314691816322
43166,5,0,19,19,2_Symbol_ (41).BMP,26.623464163959
809,3,1,11,9,2_Symbol_ (42).BMP,14.6718966489101
1086,4,1,13,12,2_Symbol_ (43).BMP,21.5656062037602
89004,5,2,16,13,2_Symbol_ (44).BMP,24.903031081776
4086,4,1,14,13,2_Symbol_ (45).BMP,20.0184909269986
88014,5,1,18,17,2_Symbol_ (46).BMP,25.604522232804
438531,6,0,22,21,2_Symbol_ (47).BMP,33.2075481183592
8841,4,0,17,17,2_Symbol_ (48).BMP,19.6730771849593
4189,4,0,17,16,2_Symbol_ (49).BMP,18.8320890590729
46630,5,1,17,16,2_Symbol_ (50).BMP,26.7466889597548
6006,4,2,10,8,2_Symbol_ (51).BMP,21.9302254823886
335540,6,1,17,14,2_Symbol_ (52).BMP,33.8582518370075
8904,4,1,15,13,2_Symbol_ (53).BMP,18.9707409071311
40369,5,1,18,16,2_Symbol_ (54).BMP,25.6904865215065
4653,4,0,14,13,2_Symbol_ (55).BMP,21.112975318085
143466,6,0,23,23,2_Symbol_ (56).BMP,30.9073797912687
60514,5,1,14,12,2_Symbol_ (57).BMP,26.3667949549314
3199,4,0,17,15,2_Symbol_ (58).BMP,20.2143685428337
8541,4,0,14,13,2_Symbol_ (59).BMP,20.1940645851246
31459,5,0,18,16,2_Symbol_ (60).BMP,25.8598787898953
Cheese,6,2,10,7,2_Word_ (1).BMP,44.5458342270653
Plate,5,1,9,9,2_Word_ (2).BMP,60.8191024642713
Cat,3,1,5,3,2_Word_ (3).BMP,59.6717390923159
Thorn,5,1,9,4,2_Word_ (4).BMP,61.839189680245
Carrot,6,2,10,5,2_Word_ (5).BMP,56.3976357599598
Mouse,5,2,10,6,2_Word_ (6).BMP,31.0544322942174
Hand,4,1,8,7,2_Word_ (7).BMP,28.4279720254993
Bed,3,1,6,8,2_Word_ (8).BMP,54.9075645219956
Banana,6,0,13,12,2_Word_ (9).BMP,63.5243414948437
Finger,6,0,13,10,2_Word_ (10).BMP,47.9390062011849
Ear,3,0,8,6,2_Word_ (11).BMP,31.3009775439846
Grass,5,2,8,5,2_Word_ (12).BMP,36.0171543805301
Bread,5,1,10,11,2_Word_ (13).BMP,38.4600740163824
Ring,4,0,9,8,2_Word_ (14).BMP,51.9535085790693
House,5,2,9,5,2_Word_ (15).BMP,32.9072524323505
Sand,4,2,6,5,2_Word_ (16).BMP,40.6712699919339
Dog,3,1,5,4,2_Word_ (17).BMP,38.0999533304661
Moon,4,2,8,4,2_Word_ (18).BMP,40.3660008024384
Thread,6,1,11,9,2_Word_ (19).BMP,53.9267612028524
Rose,4,2,7,5,2_Word_ (20).BMP,37.8179096593539
Pillow,6,3,11,10,2_Word_ (21).BMP,59.1916434989908
Toe,3,1,5,3,2_Word_ (22).BMP,51.9984131243191
Fish,4,1,8,5,2_Word_ (23).BMP,28.5045001253842
Pear,4,0,8,7,2_Word_ (24).BMP,27.4784452009673
Donkey,6,1,12,9,2_Word_ (25).BMP,33.733493802065
Snow,4,2,8,3,2_Word_ (26).BMP,48.2550547092008
Pie,3,0,6,6,2_Word_ (27).BMP,51.4295495559555
Car,3,1,5,3,2_Word_ (28).BMP,36.1952043290973
Flower,6,2,13,9,2_Word_ (29).BMP,33.7789988971413
Island,6,4,8,9,2_Word_ (30).BMP,36.5254879706459
Lake,4,1,8,8,2_Word_ (31).BMP,28.1205125853976
Star,4,1,7,4,2_Word_ (32).BMP,45.5786528261908
Water,5,0,12,9,2_Word_ (33).BMP,50.9781174890576
Butter,6,0,13,10,2_Word_ (34).BMP,55.0133870087365
Needle,6,2,11,12,2_Word_ (35).BMP,67.14813325709
Feather,7,0,15,11,2_Word_ (36).BMP,35.9051123337333
Button,6,1,12,8,2_Word_ (37).BMP,42.7289824791184
Shirt,5,1,9,5,2_Word_ (38).BMP,54.7093878060724
Rabbit,6,0,13,12,2_Word_ (39).BMP,28.9523373658328
Doll,4,3,5,6,2_Word_ (40).BMP,42.8951726972704
Sea,3,1,5,4,2_Word_ (41).BMP,37.1019755843541
Palm,4,1,8,8,2_Word_ (42).BMP,43.1758634987561
Table,5,1,9,9,2_Word_ (43).BMP,46.2558498065334
Book,4,2,8,7,2_Word_ (44).BMP,41.084828510553
Radio,5,2,9,9,2_Word_ (45).BMP,44.1294376042997
Ski,3,1,6,5,2_Word_ (46).BMP,42.7137464500189
Ball,4,2,7,10,2_Word_ (47).BMP,42.7071908717988
Bird,4,1,8,9,2_Word_ (48).BMP,26.5853116030778
Sun,3,1,5,2,2_Word_ (49).BMP,41.5163025995503
Tree,4,0,8,6,2_Word_ (50).BMP,49.8520693289187
Apple,5,1,10,11,2_Word_ (51).BMP,59.4596401958039
Garden,6,1,11,10,2_Word_ (52).BMP,55.1215322771157
Frog,4,1,8,5,2_Word_ (53).BMP,50.1229354538566
Cake,4,1,8,7,2_Word_ (54).BMP,36.1327250661277
Toast,5,2,8,4,2_Word_ (55).BMP,41.6720045314977
Foot,4,2,7,3,2_Word_ (56).BMP,27.8749317295589
Tooth,5,2,8,3,2_Word_ (57).BMP,37.3990146480387
Duck,4,1,8,6,2_Word_ (58).BMP,37.8341459493638
Door,4,2,6,3,2_Word_ (59).BMP,52.6370985972028
Chair,5,1,9,6,2_Word_ (60).BMP,37.0291399673645
