content,obj_num,disconnected_stroke,stroke_sum,junc_sum,file_loc,PC
外,3,1,6,3,CSH1.png,8.668026487
近,3,1,11,6,CSH10.png,11.69521968
两,1,0,8,9,CSH11.png,21.18577649
利,4,2,8,3,CSH12.png,11.25436521
你,5,2,9,4,CSH13.png,9.343820716
别,3,1,11,9,CSH14.png,13.59418724
受,6,4,10,4,CSH15.png,18.03679114
质,4,2,9,5,CSH16.png,13.94142722
所,2,0,9,8,CSH17.png,16.71287299
些,4,2,10,6,CSH18.png,13.40218624
物,2,0,10,8,CSH19.png,22.04821978
北,2,0,7,5,CSH2.png,12.6282035
明,2,0,11,10,CSH20.png,16.2447072
京,5,4,10,6,CSH21.png,11.13669799
前,6,4,12,6,CSH22.png,18.76145013
将,5,2,11,6,CSH23.png,12.66408759
组,3,1,11,9,CSH24.png,13.78545517
各,2,0,8,8,CSH25.png,13.33062782
先,1,0,8,7,CSH26.png,18.08491977
问,4,2,9,6,CSH27.png,11.93461461
把,2,0,11,11,CSH28.png,18.17366641
但,3,1,8,6,CSH29.png,12.17179093
地,2,0,10,8,CSH3.png,15.37112954
面,1,0,11,13,CSH30.png,21.58493675
说,5,3,14,10,CSH31.png,18.42773877
命,4,1,11,8,CSH32.png,12.72914841
主,2,1,5,3,CSH33.png,12.73981777
处,2,1,6,6,CSH34.png,11.32431862
后,2,0,7,7,CSH35.png,14.03829398
多,2,0,6,6,CSH36.png,14.430355
此,2,0,8,6,CSH37.png,14.25336555
名,1,0,8,7,CSH38.png,16.09612282
当,4,3,7,3,CSH39.png,7.330984798
机,2,0,9,6,CSH4.png,15.94380616
动,3,1,9,6,CSH40.png,12.66491612
议,4,2,7,3,CSH41.png,11.54414038
对,3,1,7,4,CSH42.png,9.621252362
色,1,0,10,11,CSH43.png,18.36344715
好,2,0,9,8,CSH44.png,17.75675747
关,2,1,6,4,CSH45.png,10.88294114
老,1,0,8,7,CSH46.png,20.15490322
论,4,1,10,6,CSH47.png,12.7884092
院,5,2,15,10,CSH48.png,20.04206394
运,4,2,11,6,CSH49.png,17.00277193
场,2,0,10,8,CSH5.png,19.52918756
因,3,1,8,5,CSH50.png,9.855948941
次,4,2,7,3,CSH51.png,10.558786
到,3,1,10,7,CSH52.png,14.54054003
相,2,0,11,9,CSH53.png,17.53569631
金,4,2,8,4,CSH54.png,10.26272961
变,4,3,9,4,CSH55.png,15.79075281
放,3,1,10,7,CSH56.png,13.8488014
种,2,0,10,9,CSH57.png,18.96106138
学,4,2,11,7,CSH58.png,14.71657286
还,4,2,11,5,CSH59.png,13.84075348
权,3,1,7,3,CSH6.png,10.73659253
身,1,0,9,8,CSH60.png,23.00779026
级,3,1,11,8,CSH7.png,16.45130443
我,2,1,9,7,CSH8.png,13.69962463
近,3,1,11,6,CSH9.png,11.69521968
帅,3,2,7,4,CSL1.png,9.700393823
坝,4,2,8,4,CSL10.png,12.09633637
坎,3,0,8,5,CSL11.png,13.58160571
钉,2,0,9,7,CSL12.png,14.22544699
坟,3,1,7,4,CSL13.png,15.85780622
妖,2,0,8,7,CSL14.png,18.7001116
岭,4,1,10,6,CSL15.png,12.25900436
肺,2,0,12,10,CSL16.png,19.36828431
玩,3,1,10,7,CSL17.png,18.98411822
沫,4,3,8,3,CSL18.png,7.574932655
杯,3,1,8,4,CSL19.png,12.38490589
瓜,1,0,6,5,CSL2.png,17.03099745
枕,4,1,11,6,CSL20.png,14.37176114
侄,2,0,9,7,CSL21.png,19.19844622
恨,3,1,11,9,CSL22.png,15.18729601
妹,1,0,9,8,CSL23.png,26.21477451
赴,2,0,9,7,CSL24.png,15.862373
扫,3,1,8,5,CSL25.png,9.549023894
扣,2,0,8,7,CSL26.png,11.57979676
阴,2,0,11,9,CSL27.png,17.13975816
伸,2,0,8,8,CSL28.png,14.74552701
杏,2,0,8,5,CSL29.png,13.49144645
池,4,3,10,6,CSL3.png,6.894531522
胎,3,0,13,11,CSL30.png,16.85943863
盼,4,2,13,10,CSL31.png,16.80197617
帘,5,3,11,6,CSL32.png,15.25733428
穴,4,3,6,2,CSL33.png,9.325559245
辽,3,1,10,6,CSL34.png,11.41211209
尖,4,3,6,2,CSL35.png,13.42940504
仰,3,0,9,6,CSL36.png,13.38826273
伙,4,2,6,2,CSL37.png,8.261585495
朵,2,0,8,4,CSL38.png,18.07861871
寺,3,1,7,4,CSL39.png,9.16725505
劣,5,4,8,3,CSL4.png,14.60733077
壮,3,1,6,3,CSL40.png,10.11815754
闪,4,2,7,3,CSL41.png,11.70649056
叹,2,0,7,6,CSL42.png,10.96452711
吊,1,0,9,9,CSL43.png,15.62520115
伪,3,1,8,5,CSL44.png,10.36156518
夸,3,1,9,6,CSL45.png,11.9305297
丟,1,0,7,6,CSL46.png,17.98949723
朽,3,1,9,5,CSL47.png,9.990329921
峡,4,2,10,6,CSL48.png,10.4857519
泛,6,5,9,2,CSL49.png,13.0950331
汗,4,3,6,2,CSL5.png,9.353452985
迈,3,1,11,7,CSL50.png,16.1956155
闯,5,3,12,7,CSL51.png,15.88799845
卧,3,2,10,10,CSL52.png,13.43984958
俩,2,0,11,10,CSL53.png,22.21842574
贪,5,3,10,5,CSL54.png,14.14061338
昂,3,0,12,10,CSL55.png,13.63282157
弦,3,1,14,11,CSL56.png,20.21487534
废,4,2,10,7,CSL57.png,19.77715172
宠,5,2,11,6,CSL58.png,17.51568691
返,3,1,11,7,CSL59.png,12.27296209
汤,4,3,10,6,CSL6.png,8.200438485
妥,5,4,8,4,CSL60.png,15.28569944
厌,3,1,6,3,CSL7.png,11.00046651
吨,2,0,11,10,CSL8.png,12.69551711
坑,4,2,10,6,CSL9.png,16.05950536
희,2,0,7,4,KSH1.png,14.42326941
썩,3,0,11,8,KSH10.png,15.68856357
열,3,0,11,8,KSH11.png,21.42392024
화,2,1,9,7,KSH12.png,15.21391654
찻,4,1,10,6,KSH13.png,16.71103
율,2,0,10,9,KSH14.png,25.88403042
꽃,5,1,11,6,KSH15.png,23.4564057
롭,2,0,13,12,KSH16.png,23.848204
空,3,0,12,9,KSH17.png,17.39044002
탈,2,0,12,10,KSH18.png,23.58116236
空,4,1,12,8,KSH19.png,25.76213488
대,1,0,8,7,KSH2.png,18.00178771
空,5,1,13,8,KSH20.png,25.62406331
환,3,1,12,9,KSH21.png,13.44011103
첼,4,1,14,9,KSH22.png,16.54504882
밝,4,0,16,13,KSH23.png,18.02856397
空,4,1,12,8,KSH24.png,27.13597657
걸,3,0,10,7,KSH25.png,21.25532057
촌,3,1,10,5,KSH26.png,21.88842364
센,4,0,11,7,KSH27.png,15.57062231
콜,3,0,11,8,KSH28.png,25.02071932
뚱,3,0,9,6,KSH29.png,20.01553617
있,4,0,10,6,KSH3.png,14.80009706
空,4,0,15,12,KSH30.png,20.95413472
空,3,0,15,13,KSH31.png,27.03221451
찰,4,1,12,8,KSH32.png,24.29224742
돈,2,0,8,6,KSH33.png,16.11464606
전,3,0,9,6,KSH34.png,15.08189184
압,3,0,11,9,KSH35.png,15.75769973
배,2,0,11,10,KSH36.png,15.79570825
려,2,0,9,7,KSH37.png,17.55578255
탕,2,0,9,7,KSH38.png,16.97546923
한,4,1,10,6,KSH39.png,16.85159355
웨,4,0,9,5,KSH4.png,15.05661527
레,3,0,10,7,KSH40.png,15.48857517
러,2,0,8,6,KSH41.png,15.86272136
제,3,0,8,5,KSH42.png,14.8467511
들,3,1,9,6,KSH43.png,24.46597338
넷,4,0,11,7,KSH44.png,14.55980098
즐,3,1,9,6,KSH45.png,23.8827939
슬,3,1,9,6,KSH46.png,22.14133628
반,3,0,12,10,KSH47.png,14.54814269
空,4,0,13,9,KSH48.png,24.4569539
잘,3,0,11,8,KSH49.png,22.13287487
튀,2,0,8,6,KSH5.png,18.13192945
섹,3,0,10,7,KSH50.png,13.03386396
통,2,0,8,6,KSH51.png,19.23469496
空,2,0,12,10,KSH52.png,27.80071013
空,3,0,13,10,KSH53.png,24.38563141
출,3,1,11,8,KSH54.png,33.9707387
벚,2,0,12,11,KSH55.png,18.80190729
월,4,0,12,8,KSH56.png,23.71432639
空,3,1,13,9,KSH57.png,14.13418943
합,4,1,13,10,KSH58.png,20.69153107
핸,4,1,12,8,KSH59.png,16.36230301
훈,3,1,9,5,KSH6.png,20.19053949
량,2,0,11,9,KSH60.png,18.37305075
체,4,1,9,5,KSH7.png,14.55239711
볶,3,0,12,10,KSH8.png,12.6476639
획,2,1,10,7,KSH9.png,13.31184655
캐,2,0,8,6,KSL1.png,16.64264141
떡,3,0,11,8,KSL10.png,15.86399454
렌,4,0,13,9,KSL11.png,18.06160218
설,3,0,11,8,KSL12.png,20.58002171
달,2,0,11,9,KSL13.png,23.06840171
립,2,0,13,12,KSL14.png,19.86313389
空,4,1,13,9,KSL15.png,23.23601158
空,4,1,10,6,KSL16.png,25.67259545
법,2,0,15,15,KSL17.png,19.17307347
空,4,0,14,11,KSL18.png,20.16447053
空,3,0,13,10,KSL19.png,17.64364812
냉,1,0,10,9,KSL2.png,19.11979127
空,2,0,13,10,KSL20.png,31.39004497
할,4,1,12,8,KSL21.png,25.17965726
챔,4,1,13,10,KSL22.png,18.74516334
空,3,0,11,9,KSL23.png,20.35491882
딸,2,0,14,12,KSL24.png,23.29778503
원,4,0,10,6,KSL25.png,15.42175589
알,3,0,10,7,KSL26.png,19.97111502
채,3,1,9,6,KSL27.png,12.4610902
엽,3,0,12,10,KSL28.png,16.96281199
병,2,0,12,12,KSL29.png,16.43000008
댄,2,0,11,9,KSL3.png,15.57943448
空,4,0,14,10,KSL30.png,30.78860355
空,4,1,12,9,KSL31.png,28.1890122
털,2,0,12,10,KSL32.png,22.14215189
정,3,0,8,5,KSL33.png,15.62359251
산,3,0,9,6,KSL34.png,11.67932964
촉,4,1,9,5,KSL35.png,22.29601386
테,3,0,9,6,KSL36.png,14.54351067
롱,2,0,9,7,KSL37.png,20.08285268
골,3,0,10,7,KSL38.png,24.35364162
방,3,0,11,9,KSL39.png,14.54798583
울,2,0,9,7,KSL4.png,25.04073545
空,3,0,10,7,KSL40.png,15.8885205
워,3,0,7,4,KSL41.png,13.27345147
예,2,0,8,7,KSL42.png,15.91666476
류,2,0,8,6,KSL43.png,19.19765945
랑,2,0,10,8,KSL44.png,17.16809564
돗,2,0,8,6,KSL45.png,16.93270382
클,2,0,9,7,KSL46.png,27.93733195
