,Unnamed: 0,ord,file_loc,character,num_of_obj,sum_of_stroke,vertices,disconnected_strokes,perimetric_complexity
200,200,221,KSL42.png,예,1,5,2.0,0.0,15.9166647555183
201,201,193,CSL40.png,壮,2,6,3.0,1.0,10.118157544773
202,202,198,CSL41.png,闪,4,10,3.0,2.0,11.706490555169
203,203,206,KSL43.png,류,2,8,6.0,0.0,19.1976594521114
204,204,186,KSL44.png,랑,1,8,5.0,0.0,17.1680956392
205,205,167,KSL45.png,돗,1,7,4.0,0.0,16.9327038154967
206,206,188,KSL46.png,클,1,10,6.0,0.0,27.9373319532613
207,207,178,CSL42.png,叹,1,5,6.0,0.0,10.9645271103253
208,208,175,CSL43.png,吊,0,6,9.0,0.0,15.6252011495801
209,209,203,KSL47.png,짖,2,7,4.0,0.0,18.8306758055269
210,210,28,KSL48.png,空,6,11,6.0,2.0,28.9459500522181
211,211,215,CSL44.png,伪,1,6,5.0,1.0,10.3615651753763
212,212,212,CSL45.png,夸,2,6,6.0,1.0,11.9305297018571
213,213,231,CSL46.png,丟,0,6,6.0,0.0,17.9894972335353
214,214,232,CSL47.png,朽,2,6,5.0,1.0,9.99032992099234
215,215,9,CSL48.png,峡,3,9,6.0,2.0,10.4857519041981
216,216,8,CSL49.png,泛,6,9,2.0,5.0,13.0950330973071
217,217,20,KSL49.png,둘,2,10,7.0,0.0,28.635271383067
218,218,185,KSL50.png,천,4,8,4.0,1.0,15.775933945377
219,219,214,CSL50.png,迈,3,10,7.0,1.0,16.1956155047435
220,220,213,CSL51.png,闯,5,11,7.0,3.0,15.8879984534479
221,221,168,KSL51.png,날,1,9,6.0,0.0,20.5603161699783
222,222,187,KSL52.png,空,3,10,9.0,1.0,29.324439848851
223,223,204,KSL53.png,빵,4,11,9.0,0.0,17.3608332838904
224,224,224,KSL54.png,불,2,11,9.0,0.0,27.77064807489
225,225,230,CSL52.png,卧,3,8,10.0,2.0,13.439849580469
226,226,233,CSL53.png,俩,2,9,10.0,0.0,22.2184257359665
227,227,238,KSL55.png,탑,1,10,8.0,0.0,19.6888244249469
228,228,222,KSL56.png,空,2,10,9.0,0.0,22.3833455166291
229,229,194,CSL54.png,贪,4,11,5.0,3.0,14.1406133774862
230,230,197,CSL55.png,昂,3,8,10.0,0.0,13.6328215730021
231,231,179,CSL56.png,弦,3,8,11.0,1.0,20.2148753432593
232,232,174,CSL57.png,废,2,8,7.0,2.0,19.7771517196031
233,233,16,CSL58.png,宠,4,8,6.0,2.0,17.5156869058798
234,234,205,KSL57.png,펜,4,9,6.0,2.0,16.3864088579157
235,235,0,KSL58.png,훌,3,10,5.0,1.0,32.0374873005676
236,236,17,CSL59.png,返,3,11,7.0,1.0,12.2729620857472
237,237,10,CSL60.png,妥,5,7,4.0,4.0,15.2856994407659
238,238,5,KSL59.png,줍,3,9,7.0,0.0,20.8171803178944
239,239,27,KSL60.png,첫,4,8,4.0,1.0,16.8342217516398
