ind,content,num_of_obj,sum_of_obj,sum_of_stroke,sum_of_junc,file_loc,PC,inkArea,perimeter
30,GELD,4,"[3, 3, 3, 5]",14,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (30).BMP,12.667892977345,18128.1803921569,1698.76862745098
31,TAG,3,"[3, 4, 3]",10,7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (31).BMP,8.18045884555443,11623,1093.08235294118
32,HUT,3,"[3, 2, 3]",8,4,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (32).BMP,9.03027585101784,11228.7176470588,1128.8091503268
33,MILCH,5,"[2, 3, 3, 2, 3]",13,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (33).BMP,15.1140285923802,18546.2784313725,1876.82352941177
34,BOOT,4,"[5, 3, 3, 3]",14,13,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (34).BMP,15.1336475037954,19667.5411764706,1933.97908496732
35,KIND,4,"[3, 3, 2, 5]",13,11,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (35).BMP,12.5093226704877,18487.062745098,1704.73071895425
36,BEIN,4,"[5, 3, 3, 2]",13,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (36).BMP,14.1746499577751,17622.6274509804,1771.72549019608
37,PFERD,5,"[4, 6, 3, 5, 5]",23,19,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (37).BMP,14.771700712209,21480.2901960784,1996.82614379085
38,MANN,4,"[2, 4, 2, 2]",10,7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (38).BMP,14.9475372112728,20292.7921568627,1952.36339869281
39,KNIE,4,"[3, 2, 3, 3]",11,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (39).BMP,12.9369699189558,16482.9450980392,1636.96209150327
40,OHR,3,"[3, 3, 5]",11,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (40).BMP,9.72309638406739,12590.8235294118,1240.32156862745
41,WORT,4,"[3, 3, 5, 3]",14,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (41).BMP,11.4241071267737,15388.8588235294,1486.34379084967
42,RAD,3,"[5, 4, 5]",14,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (42).BMP,8.55531599550211,14607.6196078431,1253.17777777778
43,SPIEL,5,"[3, 4, 3, 3, 3]",16,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (43).BMP,15.0903476676076,21159.6431372549,2003.12810457516
44,HUT,3,"[3, 2, 3]",8,4,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (44).BMP,9.03027585101784,11228.7176470588,1128.8091503268
45,KIND,4,"[3, 3, 2, 5]",13,11,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (45).BMP,12.5093226704877,18487.062745098,1704.73071895425
46,RAD,3,"[5, 4, 5]",14,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (46).BMP,8.55531599550211,14607.6196078431,1253.17777777778
47,WORT,4,"[3, 3, 5, 3]",14,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (47).BMP,11.4241071267737,15388.8588235294,1486.34379084967
48,BOOT,4,"[5, 3, 3, 3]",14,13,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (48).BMP,15.1336475037954,19667.5411764706,1933.97908496732
49,KNIE,4,"[3, 2, 3, 3]",11,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (49).BMP,12.9369699189558,16482.9450980392,1636.96209150327
50,OHR,3,"[3, 3, 5]",11,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (50).BMP,9.72309638406739,12590.8235294118,1240.32156862745
