ind,content,num_of_obj,sum_of_obj,sum_of_stroke,sum_of_junc,file_loc,PC,inkArea,perimeter
1,9501,4,"[5, 2, 1, 3]",11,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (1).BMP,20.900885268735,14177.0901960784,1929.66013071895
2,13468,5,"[3, 4, 4, 4, 5]",20,20,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (2).BMP,18.8320890590729,12637.3960784314,1729.35032679739
3,8108,4,"[5, 3, 1, 5]",14,13,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (3).BMP,31.1508118112958,20715.4078431373,2847.64836601307
4,30455,5,"[4, 1, 4, 2, 2]",13,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (4).BMP,22.3297658656059,12801.5215686274,1895.29934640523
5,8510,4,"[5, 2, 3, 1]",11,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (5).BMP,20.900885268735,14177.0901960784,1929.66013071895
6,81319,5,"[5, 3, 4, 3, 5]",20,19,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (6).BMP,33.1506993701845,21176.5803921569,2970.15555555556
7,1994,4,"[3, 5, 5, 4]",17,15,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (7).BMP,26.987953173626,17736.2039215686,2452.56339869281
8,819,3,"[5, 3, 5]",13,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (8).BMP,14.3174148666099,8832.66666666667,1260.61699346405
9,6934,4,"[4, 5, 4, 4]",17,16,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (9).BMP,19.8929624672803,12700.1607843137,1781.80130718954
10,340358,6,"[4, 4, 1, 4, 2, 5]",20,18,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (10).BMP,26.2966501084713,16523.9490196078,2336.74901960784
11,98413,5,"[5, 5, 4, 3, 4]",21,20,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (11).BMP,20.7458791060053,12790.0509803922,1826.02614379085
12,4456,4,"[4, 4, 2, 4]",14,13,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (12).BMP,21.0314691816322,12917.2549019608,1847.67189542484
13,6361,4,"[4, 4, 4, 3]",15,15,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (13).BMP,26.3989979425291,17346.262745098,2398.8418300653602
14,51436,5,"[2, 3, 4, 4, 4]",17,16,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (14).BMP,21.3247580059335,13584.5764705882,1907.96339869281
15,45541,5,"[4, 2, 2, 4, 3]",15,13,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (15).BMP,27.358083782543,17880.2039215686,2479.32810457516
16,315,3,"[4, 3, 2]",9,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (16).BMP,21.8640356278622,13414.1058823529,1919.77777777778
17,33088,5,"[4, 4, 1, 5, 5]",19,18,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (17).BMP,26.857384009484502,17297.9647058824,2416.20784313726
18,9643,4,"[5, 4, 4, 4]",17,16,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (18).BMP,17.9984940175666,12139.0470588235,1656.97254901961
19,345843,6,"[4, 4, 2, 5, 4, 4]",23,22,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (19).BMP,14.5508137908677,9214.14117647059,1298.00392156863
20,853011,6,"[5, 2, 4, 1, 3, 3]",18,16,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (20).BMP,19.7566521341268,13417.9411764706,1825.17516339869
21,11518,5,"[3, 3, 2, 3, 5]",16,15,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (21).BMP,33.3480982736813,22699.1529411765,3084.21960784314
22,6603,4,"[4, 4, 1, 4]",13,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (22).BMP,25.3489050088077,17283.4980392157,2346.3908496732
23,10165,5,"[3, 1, 3, 4, 2]",13,11,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (23).BMP,18.894030813238,12515.2235294118,1723.79869281046
24,814,3,"[5, 3, 4]",12,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (24).BMP,22.3714408317744,13491.2980392157,1947.50588235294
25,35601,5,"[4, 2, 4, 1, 3]",14,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (25).BMP,26.9242687819425,17175.7921568627,2410.65620915033
26,80448,5,"[5, 1, 4, 4, 5]",19,18,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (26).BMP,25.0032253760732,16210.3098039216,2256.82875816994
27,39541,5,"[4, 5, 2, 4, 3]",18,16,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (27).BMP,17.6400548925888,11048.3607843137,1564.96209150327
28,140663,6,"[3, 4, 1, 4, 4, 4]",20,19,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (28).BMP,28.532816071613,19448.7450980392,2640.72418300654
29,9501,4,"[5, 2, 1, 3]",11,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (29).BMP,19.7566521341268,13417.9411764706,1825.17516339869
30,43166,5,"[4, 4, 3, 4, 4]",19,19,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (30).BMP,31.7243394253809,22246.4470588235,2978.04705882353
31,809,3,"[5, 1, 5]",11,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (31).BMP,34.1787050171094,21493.6156862745,3038.3477124183
32,1086,4,"[3, 1, 5, 4]",13,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (32).BMP,27.5961202154834,16403.462745098,2385.04575163399
33,89004,5,"[5, 5, 1, 1, 4]",16,13,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (33).BMP,22.4764575185852,13933.4117647059,1983.79869281046
34,4086,4,"[4, 1, 5, 4]",14,13,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (34).BMP,27.9609817462165,16411.9294117647,2401.38039215686
35,88014,5,"[5, 5, 1, 3, 4]",18,17,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (35).BMP,14.8827138935176,9994.4862745098,1367.1816993464
36,438531,6,"[4, 4, 5, 2, 4, 3]",22,21,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (36).BMP,28.5944771396856,17628.4980392157,2516.82875816994
37,8841,4,"[5, 5, 4, 3]",17,17,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (37).BMP,24.116088347064,16995.3019607843,2269.4614379085
38,4189,4,"[4, 3, 5, 5]",17,16,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (38).BMP,25.8598787898953,17113.0274509804,2358.20522875817
39,46630,5,"[4, 4, 4, 4, 1]",17,16,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (39).BMP,32.5619315549338,20786.6392156863,2916.4339869281
40,6006,4,"[4, 1, 1, 4]",10,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (40).BMP,21.0314691816322,12917.2549019608,1847.67189542484
41,335540,6,"[4, 4, 2, 2, 4, 1]",17,14,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (41).BMP,26.623464163959,16914.5529411765,2378.8522875817
42,8904,4,"[5, 5, 1, 4]",15,13,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (42).BMP,14.6718966489101,9656.25490196078,1334.29673202614
43,40369,5,"[4, 1, 4, 4, 5]",18,16,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (43).BMP,21.5656062037602,13152.8666666667,1887.97385620915
44,4653,4,"[4, 4, 2, 4]",14,13,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (44).BMP,24.903031081776,16951.5960784314,2303.22483660131
45,143466,6,"[3, 4, 4, 4, 4, 4]",23,23,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (45).BMP,20.0184909269986,13140.337254902,1818.12549019608
46,60514,5,"[4, 1, 2, 3, 4]",14,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (46).BMP,25.604522232804,17007.831372549,2339.30980392157
47,3199,4,"[4, 3, 5, 5]",17,15,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (47).BMP,33.2075481183592,22257.4784313726,3047.62352941177
48,8541,4,"[5, 2, 4, 3]",14,13,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (48).BMP,19.6730771849593,13131.8705882353,1801.7908496732
49,31459,5,"[4, 3, 4, 2, 5]",18,16,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (49).BMP,18.8320890590729,12637.3960784314,1729.35032679739
50,8543,4,"[5, 2, 4, 4]",15,14,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (50).BMP,26.7466889597548,17354.7294117647,2415.17647058824
51,1984,4,"[3, 5, 5, 4]",17,16,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (51).BMP,21.9302254823886,13159.3960784314,1904.33986928105
52,911348,6,"[5, 3, 3, 4, 4, 5]",24,23,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (52).BMP,33.8582518370075,22525.2470588235,3095.79346405229
53,1551,4,"[3, 2, 2, 3]",10,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (53).BMP,18.9707409071311,13077.5725490196,1765.67450980392
54,8453,4,"[5, 4, 2, 4]",15,14,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (54).BMP,25.6904865215065,17291.9647058824,2362.72549019608
55,901036,6,"[5, 1, 3, 1, 4, 4]",18,15,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (55).BMP,21.112975318085,13741.9450980392,1909.43006535948
56,13089,5,"[3, 4, 1, 5, 5]",18,16,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (56).BMP,30.9073797912687,20333.9333333333,2810.2614379085
57,664,3,"[4, 4, 4]",12,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (57).BMP,26.3667949549314,16401.7764705882,2331.19738562092
58,1486,4,"[3, 4, 5, 4]",16,16,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (58).BMP,20.2143685428337,13365.768627451,1842.60392156863
59,98101,5,"[5, 5, 3, 1, 3]",17,15,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (59).BMP,20.1940645851246,12961.4,1813.60522875817
60,1554,4,"[3, 2, 2, 4]",11,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Symbol_ (60).BMP,25.8598787898953,17113.0274509804,2358.20522875817
61,Cheese,6,"[1, 2, 2, 2, 1, 2]",10,7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (1).BMP,44.5458342270653,5694.5137254902,1785.40522875817
62,Plate,5,"[2, 1, 2, 2, 2]",9,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (2).BMP,60.8191024642713,7364.01176470588,2372.36862745098
63,Cat,3,"[1, 2, 2]",5,3,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (3).BMP,59.6717390923159,7648.39607843137,2394.82875816994
64,Thorn,5,"[2, 2, 1, 2, 2]",9,4,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (4).BMP,61.839189680245,7871.34509803922,2473.21176470588
65,Carrot,6,"[1, 2, 2, 2, 1, 2]",10,5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (5).BMP,56.3976357599598,7489.22745098039,2303.84836601307
66,Mouse,5,"[4, 1, 2, 1, 2]",10,6,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (6).BMP,31.0544322942174,3927.9137254902,1238.07712418301
67,Hand,4,"[3, 2, 2, 1]",8,7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (7).BMP,28.4279720254993,3324.58823529412,1089.8
