condition,obj_num,disconnected_stroke,stroke_sum,junc_sum,PC,sum_of_square
symbol1,0.6523809523809524,0.10000000000000005,0.5974999999999999,0.1456666666666667,0.2881501066169219,0.3567395451329082
symbol2,0.6523809523809523,0.10000000000000005,0.5975,0.1456666666666667,0.2881501066169219,0.3567395451329082
symbol3,0.5785714285714287,0.09000000000000002,0.5166666666666667,0.13066666666666668,0.23288344240880413,0.3097576408627133
german1,0.6547619047619049,0.22666666666666666,0.25166666666666665,0.06866666666666667,0.6300364967394789,0.36635968030027677
german4,0.5612244897959184,0.2142857142857141,0.2678571428571429,0.07857142857142857,0.5855809137344804,0.3415039378489369
english2,0.6547619047619048,0.24666666666666656,0.23249999999999996,0.06816666666666665,0.6128940732556937,0.3629978622701864
english3,0.5952380952380956,0.2766666666666665,0.1925,0.05849999999999999,0.5203627758721104,0.32865350755537454
falsefont4,0.5527210884353743,0.01904761904761905,0.4494047619047621,0.10130952380952385,0.09708578425974085,0.243913755491404
chinese5,0.3904761904761902,0.21666666666666662,0.34166666666666684,0.09583333333333331,0.12289823379486338,0.23350821818754403
chinese7,0.28571428571428564,0.14500000000000002,0.19374999999999992,0.09,0.121411689968371,0.1671751951365313
chinese8,0.33809523809523795,0.23499999999999976,0.18458333333333338,0.06216666666666663,0.12845375331875283,0.18965979828279808
korean5,0.6119047619047622,0.060000000000000005,0.3758333333333334,0.08883333333333332,0.10338736209078503,0.2479917581324428
korean7,0.43928571428571417,0.155,0.2675,0.061499999999999985,0.10507320179144505,0.20567178321543184
korean8,0.3631961259079903,0.06610169491525428,0.23601694915254232,0.06652542372881352,0.21952721193740687,0.19027348112840145
