,obj_num,disconnected_stroke,stroke_sum,junc_sum,PC
0,1.0,0.0,1.0,1.0,0.1459067678199741
1,1.0,0.0,1.0,1.0,0.1459067678199741
2,0.0,0.0,0.23529411764705882,0.25,0.0
3,0.5,0.0,0.29411764705882354,0.3125,0.10529232136525397
4,0.5,0.0,0.4117647058823529,0.4375,0.13269017714308812
5,0.5,0.0,0.47058823529411764,0.5625,0.09933591016997757
6,0.5,0.0,0.23529411764705882,0.25,0.14979916560512788
7,0.0,0.3333333333333333,0.11764705882352941,0.0625,0.018811940907965737
8,0.5,0.0,0.47058823529411764,0.625,0.15391898881740895
9,0.0,0.0,0.47058823529411764,0.5625,0.00829801064041877
10,1.0,0.0,0.4117647058823529,0.3125,0.15348469555209576
11,0.0,0.0,0.29411764705882354,0.375,0.0341485355439442
12,0.5,0.0,0.4117647058823529,0.5,0.09582572477338051
13,1.0,0.0,0.5882352941176471,0.5625,0.1529604836869482
14,0.5,0.0,0.47058823529411764,0.4375,0.071802893329073
15,0.0,0.3333333333333333,0.11764705882352941,0.0625,0.018811940907965737
16,0.5,0.0,0.4117647058823529,0.4375,0.13269017714308812
17,0.5,0.0,0.47058823529411764,0.625,0.15391898881740895
18,0.0,0.0,0.29411764705882354,0.375,0.0341485355439442
19,0.0,0.0,0.23529411764705882,0.25,0.0
20,1.0,0.0,0.5882352941176471,0.5625,0.1529604836869482
21,0.5,0.0,0.47058823529411764,0.4375,0.071802893329073
22,1.0,0.0,1.0,1.0,0.1459067678199741
23,0.5,0.0,0.4117647058823529,0.5,0.09582572477338051
24,0.5,0.0,0.47058823529411764,0.5625,0.09933591016997757
25,1.0,0.0,0.4117647058823529,0.3125,0.15348469555209576
26,0.0,0.0,0.47058823529411764,0.5625,0.00829801064041877
27,0.5,0.0,0.29411764705882354,0.3125,0.10529232136525397
28,0.5,0.0,0.23529411764705882,0.25,0.14979916560512788
29,0.5,0.0,0.47058823529411764,0.5625,0.09933591016997757
30,0.0,0.0,0.23529411764705882,0.25,0.0
31,0.0,0.3333333333333333,0.11764705882352941,0.0625,0.018811940907965737
32,1.0,0.0,0.4117647058823529,0.3125,0.15348469555209576
33,0.5,0.0,0.47058823529411764,0.625,0.15391898881740895
34,0.5,0.0,0.4117647058823529,0.5,0.09582572477338051
35,0.5,0.0,0.4117647058823529,0.4375,0.13269017714308812
36,1.0,0.0,1.0,1.0,0.1459067678199741
37,0.5,0.0,0.23529411764705882,0.25,0.14979916560512788
38,0.5,0.0,0.29411764705882354,0.3125,0.10529232136525397
39,0.0,0.0,0.29411764705882354,0.375,0.0341485355439442
40,0.5,0.0,0.47058823529411764,0.4375,0.071802893329073
41,0.0,0.0,0.47058823529411764,0.5625,0.00829801064041877
42,1.0,0.0,0.5882352941176471,0.5625,0.1529604836869482
43,0.0,0.3333333333333333,0.11764705882352941,0.0625,0.018811940907965737
44,0.5,0.0,0.4117647058823529,0.5,0.09582572477338051
45,0.0,0.0,0.47058823529411764,0.5625,0.00829801064041877
46,0.5,0.0,0.47058823529411764,0.4375,0.071802893329073
47,0.5,0.0,0.47058823529411764,0.625,0.15391898881740895
48,0.5,0.0,0.29411764705882354,0.3125,0.10529232136525397
49,0.0,0.0,0.29411764705882354,0.375,0.0341485355439442
50,0.0,0.0,0.23529411764705882,0.25,0.0
51,0.5,0.0,0.47058823529411764,0.5625,0.09933591016997757
52,1.0,0.0,1.0,1.0,0.1459067678199741
53,0.5,0.0,0.4117647058823529,0.4375,0.13269017714308812
54,1.0,0.0,0.4117647058823529,0.3125,0.15348469555209576
55,1.0,0.0,0.5882352941176471,0.5625,0.1529604836869482
56,0.5,0.0,0.23529411764705882,0.25,0.14979916560512788
57,1.0,0.0,0.5882352941176471,0.5625,0.1529604836869482
58,0.0,0.0,0.23529411764705882,0.25,0.0
59,0.5,0.0,0.47058823529411764,0.4375,0.071802893329073
60,0.5,0.0,0.23529411764705882,0.25,0.14979916560512788
61,0.5,0.0,0.47058823529411764,0.5625,0.09933591016997757
62,0.0,0.0,0.47058823529411764,0.5625,0.00829801064041877
63,0.0,0.3333333333333333,0.11764705882352941,0.0625,0.018811940907965737
64,0.5,0.0,0.47058823529411764,0.625,0.15391898881740895
65,0.5,0.0,0.4117647058823529,0.4375,0.13269017714308812
66,1.0,0.0,0.4117647058823529,0.3125,0.15348469555209576
67,0.5,0.0,0.29411764705882354,0.3125,0.10529232136525397
68,0.0,0.0,0.29411764705882354,0.375,0.0341485355439442
69,1.0,0.0,1.0,1.0,0.1459067678199741
70,0.5,0.0,0.4117647058823529,0.5,0.09582572477338051
71,0.0,0.3333333333333333,0.11764705882352941,0.0625,0.018811940907965737
72,0.0,0.0,0.29411764705882354,0.375,0.0341485355439442
73,0.5,0.0,0.47058823529411764,0.625,0.15391898881740895
74,0.5,0.0,0.4117647058823529,0.5,0.09582572477338051
75,0.0,0.0,0.23529411764705882,0.25,0.0
76,0.5,0.0,0.29411764705882354,0.3125,0.10529232136525397
77,1.0,0.0,0.5882352941176471,0.5625,0.1529604836869482
78,0.0,0.0,0.47058823529411764,0.5625,0.00829801064041877
79,0.5,0.0,0.4117647058823529,0.4375,0.13269017714308812
80,0.5,0.0,0.47058823529411764,0.4375,0.071802893329073
81,0.5,0.0,0.23529411764705882,0.25,0.14979916560512788
82,0.5,0.0,0.47058823529411764,0.5625,0.09933591016997757
83,1.0,0.0,0.4117647058823529,0.3125,0.15348469555209576
84,0.0,0.3333333333333333,0.058823529411764705,0.125,0.5834132685251121
85,0.5,0.3333333333333333,0.29411764705882354,0.5,0.7430395285435584
86,0.5,0.3333333333333333,0.17647058823529413,0.375,0.7284785517497275
87,0.5,0.3333333333333333,0.23529411764705882,0.25,0.8556660631871774
88,0.5,0.0,0.4117647058823529,0.4375,0.9879565634367846
89,0.5,0.3333333333333333,0.29411764705882354,0.4375,0.7457577032420334
90,0.0,0.0,0.11764705882352941,0.3125,0.5930333898398936
91,1.0,1.0,0.23529411764705882,0.3125,0.9223144966279745
92,1.0,0.0,0.47058823529411764,0.5625,1.0
93,0.0,0.3333333333333333,0.058823529411764705,0.125,0.5834132685251121
94,0.5,0.6666666666666666,0.058823529411764705,0.125,0.7662764622329032
95,1.0,1.0,0.17647058823529413,0.3125,0.8271091692317084
96,0.5,0.3333333333333333,0.17647058823529413,0.3125,0.7232075052718635
97,0.0,0.3333333333333333,0.0,0.0,0.4748080449044506
98,0.0,0.0,0.058823529411764705,0.1875,0.5339918007765199
99,1.0,1.0,0.17647058823529413,0.3125,0.8271091692317084
100,0.5,0.6666666666666666,0.058823529411764705,0.125,0.7662764622329032
101,0.0,0.3333333333333333,0.0,0.0,0.4748080449044506
102,0.5,0.3333333333333333,0.29411764705882354,0.5,0.7430395285435584
103,0.5,0.3333333333333333,0.17647058823529413,0.3125,0.7232075052718635
