,Unnamed: 0,0,1,2,3
67,Data/5_Wang_2017/5_Chinese_5.BMP,歌,14,number of obj: 5,number of contain: 1
68,Data/5_Wang_2017/5_Chinese_27.BMP,酒,10,number of obj: 4,number of contain: 0
69,Data/5_Wang_2017/5_Chinese_33.BMP,核,10,number of obj: 4,number of contain: 0
70,Data/5_Wang_2017/5_Korean_56.BMP,空,none,number of obj: 7,number of contain: 0
71,Data/5_Wang_2017/5_Korean_42.BMP,똏,13,number of obj: 6,number of contain: 0
72,Data/5_Wang_2017/5_Korean_54.BMP,空,none,number of obj: 6,number of contain: 0
73,Data/5_Wang_2017/5_Korean_40.BMP,짢,13,number of obj: 5,number of contain: 0
74,Data/5_Wang_2017/5_Chinese_19.BMP,脚,13,number of obj: 2,number of contain: 2
75,Data/5_Wang_2017/5_Chinese_25.BMP,钱,13,number of obj: 2,number of contain: 0
76,Data/5_Wang_2017/5_Chinese_31.BMP,课,15,number of obj: 3,number of contain: 0
77,Data/5_Wang_2017/5_Chinese_7.BMP,腿,16,number of obj: 3,number of contain: 1
78,Data/5_Wang_2017/5_Chinese_6.BMP,路,13,number of obj: 2,number of contain: 0
79,Data/5_Wang_2017/5_Chinese_30.BMP,烟,10,number of obj: 1,number of contain: 0
80,Data/5_Wang_2017/5_Chinese_24.BMP,理,12,number of obj: 2,number of contain: 0
81,Data/5_Wang_2017/5_Chinese_18.BMP,眼,11,number of obj: 2,number of contain: 0
82,Data/5_Wang_2017/5_Korean_41.BMP,뗁,14,number of obj: 6,number of contain: 0
83,Data/5_Wang_2017/5_Korean_55.BMP,空,none,number of obj: 5,number of contain: 0
84,Data/5_Wang_2017/5_Korean_32.BMP,궪,12,number of obj: 5,number of contain: 0
85,Data/5_Wang_2017/5_Korean_26.BMP,빤,12,number of obj: 4,number of contain: 0
86,Data/5_Wang_2017/5_Chinese_43.BMP,线,11,number of obj: 4,number of contain: 0
87,Data/5_Wang_2017/5_Chinese_57.BMP,灯,6,number of obj: 2,number of contain: 0
88,Data/5_Wang_2017/5_Chinese_56.BMP,江,7,number of obj: 3,number of contain: 0
89,Data/5_Wang_2017/5_Chinese_42.BMP,河,9,number of obj: 4,number of contain: 0
90,Data/5_Wang_2017/5_Korean_27.BMP,짭,12,number of obj: 3,number of contain: 0
91,Data/5_Wang_2017/5_Korean_33.BMP,빠,10,number of obj: 3,number of contain: 0
92,Data/5_Wang_2017/5_Korean_25.BMP,없,9,number of obj: 3,number of contain: 0
93,Data/5_Wang_2017/5_Korean_31.BMP,꼕,13,number of obj: 5,number of contain: 0
94,Data/5_Wang_2017/5_Korean_19.BMP,꼲,11,number of obj: 6,number of contain: 0
95,Data/5_Wang_2017/5_Chinese_54.BMP,妈,6,number of obj: 3,number of contain: 0
