study.ID,obj_num,disc_strk,strk_sum,junc_sum,PC
1,0.005555555555555536,0.2111111111111111,-0.36403508771929827,-0.3666666666666667,0.41250446256191126
2,0.004166666666666652,0.18333333333333335,-0.3842105263157895,-0.36904761904761907,0.37281753427374853
3,0.0423728813559322,0.2627118644067796,-0.419740777666999,-0.435969868173258,0.5162768444818799
4,0,0.33333333333333337,-0.22268907563025211,-0.1428571428571429,0.6544840665867894
5,0.2611111111111111,-0.09583333333333335,0.016666666666666663,-0.12017543859649121,-0.06781704921429532
6,0.28750000000000003,-0.08125000000000002,0.12272727272727268,-0.1484375,-0.10916882921497623
7,-0.018333333333333368,-0.17833333333333334,0.14375,0.1391025641025641,0.20276801055747184
