parameter,possibility1,possibility2,possibility3
obj_num,0.0155200767064403,0.0165730441371951,0.0466622411842643
disconnected_stroke,0.0192722369473758,0.0200760151924847,0.79510809443221
stroke_sum,0.00407214212397351,0.00803085081567424,0.120970351677663
junc_sum,0.0584712181511372,0.0832600489995135,0.461708999948054
PC,0.0108701053683979,0.0318236656086931,0.259505072734635
