study,word.mean,word.n,word.sd,symbol.mean,symbol.n,symbol.sd
1,-4.57566084615385,13,2.04177979662127,-0.886298384615385,13,2.16913419533411
2,-2.97356073333333,15,1.79199205383289,-1.315921,15,2.481157
3,-2.848616,17,2.093126,-1.547936,17,1.891755
4,-3.59809186363636,22,2.03536465999494,-2.90326454545455,22,1.99164925646091
5,-3.511209,20,2.338272,-3.480297,20,2.988389
6,-2.654242,32,3.147222,-3.861920,32,2.957413
7,-4.68165794444444,18,3.10609193124793,-5.356267,18,3.887917
